"Scan Time","Barcode","Is Manual Entered","Is Uploaded","Upload Time","Latitude","Longitude"
"2025-06-16 04:13:02.318","https://t.me/eirsvi","N","Y","2025-06-16 04:13:02.467","",""
"2025-06-16 04:12:49.012","https://t.me/eirsvi","N","Y","2025-06-16 04:12:49.200","",""
"2025-06-16 04:12:43.915","https://t.me/medmannews","N","Y","2025-06-16 04:12:44.085","",""
"2025-06-16 04:12:40.488","https://t.me/rtnews","N","Y","2025-06-16 04:12:40.694","",""
"2025-06-16 04:12:37.473","https://t.me/sypermyz","N","Y","2025-06-16 04:12:37.677","",""
"2025-06-16 04:12:34.758","https://t.me/usa_news_trump","N","Y","2025-06-16 04:12:34.949","",""
"2025-06-16 04:12:31.547","https://t.me/justfuckinlisten","N","Y","2025-06-16 04:12:31.736","",""
"2025-06-16 04:12:25.186","https://t.me/ctssport","N","Y","2025-06-16 04:12:25.375","",""
"2025-06-16 04:12:21.091","https://t.me/cnssport","N","Y","2025-06-16 04:12:21.277","",""
"2025-06-16 04:12:17.095","https://t.me/toptechhousemusic","N","Y","2025-06-16 04:12:17.298","",""
"2025-06-16 04:12:13.366","https://t.me/musical_barmen","N","Y","2025-06-16 04:12:13.557","",""
"2025-06-16 04:12:09.965","https://t.me/ibizadirection","N","Y","2025-06-16 04:12:10.165","",""
"2025-06-16 04:12:06.071","https://t.me/Aliyun_4K_Movies","N","Y","2025-06-16 04:12:06.238","",""
"2025-06-16 04:11:57.928","https://t.me/Hause_Techno_Remix","N","Y","2025-06-16 04:11:58.127","",""
"2025-06-16 04:11:55.015","https://t.me/fresh_electronic_music","N","Y","2025-06-16 04:11:55.214","",""
"2025-06-16 04:11:51.723","https://t.me/galina_55_1L","N","Y","2025-06-16 04:11:51.919","",""
"2025-06-16 04:11:47.160","https://t.me/BaiduCloudDisk","N","Y","2025-06-16 04:11:47.346","",""
"2025-06-16 04:11:43.509","https://t.me/ShansonPesni","N","Y","2025-06-16 04:11:43.699","",""
"2025-06-16 04:11:38.313","https://t.me/ShansonPesni","N","Y","2025-06-16 04:11:38.516","",""
"2025-06-16 04:11:30.155","https://t.me/Happimusic24","N","Y","2025-06-16 04:11:30.343","",""
"2025-06-16 04:11:27.225","https://t.me/eurodiscoteka","N","Y","2025-06-16 04:11:27.440","",""
"2025-06-16 04:11:23.945","https://t.me/oneonefivewpfx","N","Y","2025-06-16 04:11:24.127","",""
"2025-06-16 04:11:20.362","https://t.me/DSGJYLC_bot","N","Y","2025-06-16 04:11:20.539","",""
"2025-06-16 04:11:16.552","https://t.me/alinanute43","N","Y","2025-06-16 04:11:16.770","",""
"2025-06-16 04:11:11.556","https://t.me/Music_4_3_3","N","Y","2025-06-16 04:11:11.741","",""
"2025-06-16 04:11:08.526","https://t.me/eurodiscoteka","N","Y","2025-06-16 04:11:08.712","",""
"2025-06-16 04:11:03.947","https://t.me/oneonefivewpfx","N","Y","2025-06-16 04:11:04.147","",""
"2025-06-16 04:11:00.534","https://t.me/DSGJYLC_bot","N","Y","2025-06-16 04:11:00.725","",""
"2025-06-16 04:10:57.519","https://t.me/alinanute43","N","Y","2025-06-16 04:10:57.709","",""
"2025-06-16 04:10:53.254","https://t.me/myanmar_songs_feeling","N","Y","2025-06-16 04:10:53.428","",""
"2025-06-16 04:10:47.796","https://t.me/lllllButterflylllll","N","Y","2025-06-16 04:10:47.989","",""
"2025-06-16 04:10:41.698","https://t.me/speeeedyunderground","N","Y","2025-06-16 04:10:41.902","",""
"2025-06-16 04:10:39.203","https://t.me/tianyirigeng","N","Y","2025-06-16 04:10:39.391","",""
"2025-06-16 04:10:36.453","https://t.me/kpopmusicchannel","N","Y","2025-06-16 04:10:36.649","",""
"2025-06-16 04:10:33.522","https://t.me/technochannels","N","Y","2025-06-16 04:10:33.719","",""
"2025-06-16 04:10:29.279","https://t.me/topafrohousemusic","N","Y","2025-06-16 04:10:29.468","",""
"2025-06-16 04:10:26.385","https://t.me/toptechnopeaktimedrivingmusic","N","Y","2025-06-16 04:10:26.582","",""
"2025-06-16 04:10:23.301","https://t.me/vlacom_news","N","Y","2025-06-16 04:10:23.501","",""
"2025-06-16 04:10:19.689","https://t.me/TranceRY","N","Y","2025-06-16 04:10:19.909","",""
"2025-06-16 04:10:16.257","https://t.me/Bilderberg25","N","Y","2025-06-16 04:10:16.441","",""
"2025-06-16 04:10:12.912","https://t.me/garageringtones","N","Y","2025-06-16 04:10:13.099","",""
"2025-06-16 04:10:04.435","https://t.me/coooolmusic","N","Y","2025-06-16 04:10:04.639","",""
"2025-06-16 04:10:01.007","https://t.me/tyypzhpd","N","Y","2025-06-16 04:10:01.205","",""
"2025-06-16 04:09:58.308","https://t.me/techno_code","N","Y","2025-06-16 04:09:58.514","",""
"2025-06-16 04:09:54.762","https://t.me/china_song1","N","Y","2025-06-16 04:09:54.948","",""
"2025-06-16 04:09:51.681","https://t.me/tyysypzypd","N","Y","2025-06-16 04:09:51.828","",""
"2025-06-16 04:09:48.385","https://t.me/SuperMusis","N","Y","2025-06-16 04:09:48.573","",""
"2025-06-16 04:09:44.772","https://t.me/rapmyzik","N","Y","2025-06-16 04:09:44.970","",""
"2025-06-16 04:09:41.577","https://t.me/topdeepmelodictechnomusic","N","Y","2025-06-16 04:09:41.774","",""
"2025-06-16 04:09:37.110","https://t.me/Hause_Techno_Remix","N","Y","2025-06-16 04:09:37.301","",""
"2025-06-16 04:09:33.931","https://t.me/rapmyzik","N","Y","2025-06-16 04:09:34.125","",""
"2025-06-16 04:09:31.082","https://t.me/topdeepmelodictechnomusic","N","Y","2025-06-16 04:09:31.270","",""
"2025-06-16 04:09:28.104","https://t.me/bl4ck_cyb3r","N","Y","2025-06-16 04:09:28.289","",""
"2025-06-16 04:09:23.474","https://t.me/Kate_Svet_Music","N","Y","2025-06-16 04:09:23.660","",""
"2025-06-16 04:09:19.829","https://t.me/jdw168","N","Y","2025-06-16 04:09:20.039","",""
"2025-06-16 04:09:16.231","https://t.me/toporganichousemusic","N","Y","2025-06-16 04:09:16.431","",""
"2025-06-16 04:09:13.092","https://t.me/Relax_Deep","N","Y","2025-06-16 04:09:13.278","",""
"2025-06-16 04:09:10.208","https://t.me/Relax_Deep","N","Y","2025-06-16 04:09:10.361","",""
"2025-06-16 04:09:06.572","https://t.me/hiphopalbumsuneedtohear","N","Y","2025-06-16 04:09:06.767","",""
"2025-06-16 04:09:02.579","https://t.me/hiphopalbumsuneedtohear","N","Y","2025-06-16 04:09:02.784","",""
"2025-06-16 04:08:59.545","https://t.me/sadsadsadsadsadsadsad","N","Y","2025-06-16 04:08:59.748","",""
"2025-06-16 04:08:56.750","https://t.me/vita1music","N","Y","2025-06-16 04:08:56.939","",""
"2025-06-16 04:08:53.983","https://t.me/HDHiveBot","N","Y","2025-06-16 04:08:54.174","",""
"2025-06-16 04:08:50.972","https://t.me/HardDanceMusic","N","Y","2025-06-16 04:08:51.173","",""
"2025-06-16 04:08:47.941","https://t.me/janellerr","N","Y","2025-06-16 04:08:48.136","",""
"2025-06-16 04:08:44.593","https://t.me/kmengdigi","N","Y","2025-06-16 04:08:44.794","",""
"2025-06-16 04:08:40.430","https://t.me/tiktoksongsa","N","Y","2025-06-16 04:08:40.647","",""
"2025-06-16 04:08:37.832","https://t.me/HouseTechnoMusic","N","Y","2025-06-16 04:08:38.020","",""
